y_m,z_m,recruitment_presence_qnat,recruitment_presence_qrel,recruitment_age_days_qnat,recruitment_age_days_qrel,recruitment_effective_age_days_qnat,recruitment_effective_age_days_qrel,camporeale_biomass_qnat,camporeale_biomass_qrel
48.5,1.4500000000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
48.75,1.475,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49.0,1.5,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49.25,1.5250000000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49.5,1.55,0,0,0.0,0.0,0.0,0.0,0.0,0.0
49.75,1.5750000000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,1.6,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50.25,1.6218750000000002,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50.5,1.64375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
50.75,1.6656250000000001,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51.0,1.6875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51.25,1.709375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51.5,1.73125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
51.75,1.753125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52.0,1.775,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52.25,1.796875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52.5,1.81875,0,0,0.0,0.0,0.0,0.0,0.0,0.0
52.75,1.840625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53.0,1.8625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53.25,1.884375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53.5,1.90625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
53.75,1.928125,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,1.95,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54.25,1.9718749999999998,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54.5,1.99375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
54.75,2.015625,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55.0,2.0375,0,0,0.0,0.0,0.0,0.0,0.0,0.0
55.25,2.0593749999999997,0,0,0.0,0.0,0.0,0.0,0.0,0.0
